batch,sim_time,compute_time
0,0.10000000000000007,4.660595417022705
0,0.20000000000000015,9.083720684051514
0,0.3000000000000002,13.432023286819458
0,0.4000000000000003,17.783079624176025
0,0.5000000000000003,22.178544521331787
0,0.6000000000000004,26.555564165115356
0,0.7000000000000005,30.933770656585693
0,0.8000000000000006,35.31878662109375
0,0.9000000000000007,39.74731779098511
0,1.0000000000000007,44.126152753829956
0,1.0999999999999897,48.541162729263306
0,1.1999999999999786,52.914159536361694
0,1.2999999999999676,57.300633668899536
0,1.3999999999999566,61.68824338912964
0,1.4999999999999456,66.03568816184998
0,1.5999999999999346,70.40868401527405
0,1.6999999999999236,74.81869435310364
0,1.7999999999999126,79.22929739952087
0,1.8999999999999015,83.65518760681152
0,1.9999999999998905,88.03177857398987
0,2.0999999999998797,92.4851565361023
0,2.1999999999998687,96.87177634239197
0,2.2999999999998577,101.28149175643921
0,2.3999999999998467,105.6768729686737
0,2.4999999999998357,110.05463027954102
0,2.5999999999998247,114.47983646392822
0,2.6999999999998137,118.86415505409241
0,2.7999999999998026,123.26023030281067
0,2.8999999999997916,127.63807106018066
0,2.9999999999997806,132.03385424613953
1,0.10000000000000007,136.59277176856995
1,0.20000000000000015,140.9725468158722
1,0.3000000000000002,145.2907190322876
1,0.4000000000000003,149.5783393383026
1,0.5000000000000003,153.91507744789124
1,0.6000000000000004,158.25908017158508
1,0.7000000000000005,162.61292910575867
1,0.8000000000000006,166.97763562202454
1,0.9000000000000007,171.31731820106506
1,1.0000000000000007,175.65228009223938
1,1.0999999999999897,179.99373054504395
1,1.1999999999999786,184.34332656860352
1,1.2999999999999676,188.76932740211487
1,1.3999999999999566,193.21722745895386
1,1.4999999999999456,197.62237238883972
1,1.5999999999999346,202.06412291526794
1,1.6999999999999236,206.47824835777283
1,1.7999999999999126,210.8808205127716
1,1.8999999999999015,215.31743907928467
1,1.9999999999998905,219.81366682052612
1,2.0999999999998797,224.3016836643219
1,2.1999999999998687,228.71805596351624
1,2.2999999999998577,233.13883805274963
1,2.3999999999998467,237.56291437149048
1,2.4999999999998357,241.96925377845764
1,2.5999999999998247,246.41778349876404
1,2.6999999999998137,250.82244110107422
1,2.7999999999998026,255.26218247413635
1,2.8999999999997916,259.72555780410767
1,2.9999999999997806,264.1294512748718
2,0.10000000000000007,268.8088963031769
2,0.20000000000000015,273.2209346294403
2,0.3000000000000002,277.6635959148407
2,0.4000000000000003,282.10306906700134
2,0.5000000000000003,286.53948521614075
2,0.6000000000000004,290.95167112350464
2,0.7000000000000005,295.3714106082916
