CViT,DeepONet,FNO
0.06059484,0.062001668,1.0661038
0.07286289,0.06939561,1.0412202
0.057626728,0.090503536,1.002154
0.06011161,0.102946825,0.9974257
0.07271788,0.06970173,1.0381885
0.062035237,0.0757269,1.0145837
0.06790458,0.07172852,1.023954
0.071184486,0.06791088,1.0491729
0.06904848,0.066715546,1.0537559
0.062488575,0.063463986,1.0637447
0.068293296,0.07156928,1.024634
0.072499886,0.0688798,1.0447154
0.06148631,0.10762724,0.9961624
0.072764434,0.06917871,1.0428414
0.05809936,0.08278053,1.0069578
0.072819464,0.069271944,1.0421809
0.06071313,0.062102206,1.0659567
0.05814068,0.09475001,1.000278
0.057531558,0.058604278,1.0698116
0.056599792,0.057284143,1.070943
0.0719023,0.07024907,1.0332521
0.07157717,0.07033732,1.032224
0.07280578,0.06962296,1.0390911
0.06175358,0.06295625,1.0646834
0.05813753,0.09473394,1.0002849
0.058460627,0.05979445,1.0686954
0.05459234,0.054161135,1.0735111
0.05970749,0.101603955,0.99784815
0.059356634,0.060811985,1.0676179
0.06608106,0.065388635,1.0587872
0.05966145,0.101446435,0.99789906
0.05823798,0.059521362,1.0689626
0.06651831,0.06558534,1.0581195
0.059145667,0.09960293,0.9985128
0.062240444,0.11018139,0.99558187
0.06835786,0.071543396,1.0247492
0.05771526,0.09220583,1.0013918
0.061168086,0.10668861,0.9964149
0.05800597,0.059228763,1.0692412
0.059807856,0.061274316,1.067071
0.06551779,0.11927502,0.99370974
0.06192222,0.07583629,1.0144082
0.0576589,0.09177669,1.001592
0.05763687,0.09159749,1.0016768
0.054410167,0.05386624,1.0737596
0.06605179,0.06537523,1.0588311
0.07092357,0.07050512,1.0304565
0.071217336,0.06793108,1.0490808
0.06723251,0.06590191,1.0569855
0.0664578,0.06555821,1.0582128
0.060237043,0.06168341,1.0665463
0.060047735,0.10273884,0.99749
0.06431989,0.064502366,1.0612828
0.06540057,0.06500214,1.0597111
0.07286764,0.06947556,1.0405349
0.072014116,0.070216864,1.0336387
0.06618202,0.072524525,1.021144
0.07194012,0.07023848,1.0333803
0.070475444,0.07079505,1.0289965
0.057657544,0.09079974,1.0020058
0.066501684,0.07236492,1.0216459
0.057610676,0.086073555,1.004602
0.06144839,0.06272695,1.0650668
0.0678843,0.07173694,1.0239192
0.06622953,0.06545573,1.0585624
0.07001876,0.07094244,1.0279785
0.0675063,0.07189887,1.0232782
0.0627472,0.06362879,1.0634086
0.072571956,0.06895024,1.0443035
0.072633035,0.06975159,1.0375518
0.07251267,0.07004219,1.0357282
0.06017638,0.07809331,1.0114518
0.063305594,0.06396261,1.0626714
0.06928543,0.066826314,1.0532793
0.06502659,0.118015826,0.9939483
0.07286841,0.069446675,1.040788
0.072836466,0.06930921,1.0419034
0.06074638,0.062130056,1.0659151
0.06596856,0.12041697,0.99350023
0.066094644,0.07276486,1.0207851
0.05432173,0.053723633,1.0738817
0.060600586,0.062006626,1.0660968
0.064088956,0.074034005,1.0176998
0.058925148,0.060338303,1.0681378
0.057887018,0.08375642,1.0062051
0.06763795,0.12494621,0.99282116
0.068509296,0.0664697,1.054783
0.07194894,0.07023586,1.0334107
0.057485558,0.08705598,1.0040547
0.05816121,0.05942553,1.0690547
0.07278059,0.06965054,1.0387883
0.06875462,0.06658068,1.0543246
0.07265279,0.069741,1.0376889
0.0583447,0.081911184,1.0076746
0.06663795,0.072298504,1.021862
0.072181545,0.068599366,1.0455939
0.064743385,0.11689376,0.9940893
0.056934632,0.0577717,1.0705342
0.06237768,0.11056823,0.9954883
0.06832146,0.1266297,0.992567
